,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,pub_year,century,is_big_book
44,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416.0,562,37,6/1/1982,Farrar  Straus and Giroux,1982,20th,big
45,Uncommon Carriers,John McPhee,3.95,eng,248.0,1630,203,5/16/2006,Farrar Straus Giroux,2006,21th,small
46,Heirs of General Practice,John McPhee,4.17,eng,128.0,268,22,4/1/1986,Farrar  Straus and Giroux,1986,20th,small
47,The Control of Nature,John McPhee,4.24,eng,288.0,3498,305,9/1/1990,Farrar  Straus and Giroux,1990,20th,small
48,Annals of the Former World,John McPhee,4.34,eng,720.0,3115,228,1/6/1999,Farrar  Straus and Giroux,1999,20th,big
49,Coming Into the Country,John McPhee,4.22,eng,448.0,5704,261,4/1/1991,Farrar  Straus and Giroux,1991,20th,big
50,La Place de la Concorde Suisse,John McPhee,3.92,fre,160.0,698,52,4/1/1994,Farrar  Straus and Giroux,1994,20th,small
51,Giving Good Weight,John McPhee,4.23,eng,288.0,542,36,4/1/1994,Farrar  Straus and Giroux,1994,20th,small
52,Rising from the Plains,John McPhee,4.23,eng,208.0,1341,98,11/1/1987,Farrar  Straus and Giroux,1987,20th,small
53,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81.0,1423,70,3/1/2002,Dramatists Play Service,2002,21th,small
54,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249.0,2766,64,7/2/1991,Vintage,1991,20th,small
55,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138.0,31,1,3/29/2006,Routledge,2006,21th,small
56,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,eng,128.0,62,4,3/14/2006,North Light Books,2006,21th,small
57,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192.0,860,53,9/1/2003,Chosen Books,2003,21th,small
58,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,eng,108.0,77,2,1/28/1997,Association for Supervision & Curriculum Development,1997,20th,small
59,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352.0,153317,2257,11/15/2002,Kingfisher,2002,21th,small
60,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192.0,55,5,11/15/2004,ASCD,2004,21th,small
61,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192.0,34,6,4/28/2003,Sovereign World,2003,21th,small
62,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832.0,11797,659,10/16/2003,Workman Publishing Company,2003,21th,big
63,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123.0,34,8,5/10/2004,One Hour Entertainment,2004,21th,small
64,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,eng,128.0,78,4,8/19/2004,North Light Books,2004,21th,small
65,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423.0,2785,166,6/15/1987,Ace Books,1987,20th,big
66,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436.0,38778,568,7/1/1987,Ace Books,1987,20th,big
67,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331.0,97494,2359,7/15/1987,Ace Books,1987,20th,small
68,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,eng,592.0,784,21,7/1/2004,Tor Books,2004,21th,big
69,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480.0,272,20,4/16/1984,Putnam,1984,20th,big
70,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426.0,4789,83,8/29/2006,Tor Science Fiction,2006,21th,big
71,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471.0,45388,644,8/15/1987,Ace Books,1987,20th,big
72,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192.0,26153,102,6/12/2002,Houghton Mifflin Harcourt,2002,21th,small
73,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544.0,69167,4551,9/29/1996,Ballantine Books,1996,20th,big
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291.0,45,13,9/13/2005,Delacorte Books for Young Readers,2005,21th,small
75,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,eng,256.0,16,1,11/1/2004,Thomas Nelson,2004,21th,small
76,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205.0,174,16,5/19/2006,Wiley,2006,21th,small
78,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336.0,76,9,5/3/2005,William Morrow Paperbacks,2005,21th,small
79,eBay for Dummies,Marsha Collier,3.50,eng,386.0,111,9,10/30/2006,Wiley,2006,21th,small
81,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384.0,55,4,9/17/2004,Wiley,2004,21th,small
83,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,eng,391.0,22,1,5/31/2004,Wiley,2004,21th,small
84,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,eng,864.0,17,3,4/25/2005,Wiley,2005,21th,big
85,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873.0,166,4,7/29/2006,O'Reilly Media,2006,21th,big
86,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240.0,50,5,5/3/2005,Citadel,2005,21th,small
87,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206.0,13,2,5/3/2005,Citadel,2005,21th,small
88,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514.0,64,1,1/1/2007,O'Reilly Media,2007,21th,big
89,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838.0,16643,1851,5/31/2004,Penguin Classics,2004,21th,big
90,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960.0,109420,5696,11/5/2002,Signet,2002,21th,big
91,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837.0,2904,309,1/30/2003,Penguin Books,2003,21th,big
92,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80.0,16,3,11/26/1965,Cliffs Notes,1965,20th,small
93,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803.0,9564,726,7/1/2003,Barnes & Noble Classics,2003,21th,big
94,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,752.0,474,72,11/23/2004,Dover Publications,2004,21th,big
95,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803.0,303,48,8/26/2004,Barnes & Noble,2004,21th,big
96,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360.0,411,65,1/28/2006,Mira Books,2006,21th,small
97,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128.0,1204,33,11/26/1987,Cambridge University Press,1987,20th,small
98,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160.0,3429,279,7/3/1990,Penguin Books,1990,20th,small
99,The Untouchable,John Banville,3.95,eng,367.0,2163,216,6/30/1998,Vintage,1998,20th,small
100,The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256.0,613,31,2/1/1996,Buccaneer Books,1996,20th,small
101,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,eng,320.0,308,40,9/27/2005,Scribner,2005,21th,small
103,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224.0,16,4,12/20/2000,Rowman & Littlefield Publishers,2000,21th,small
106,Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360.0,1035,23,10/1/1994,Harper Perennial,1994,20th,small
107,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00,eng,250.0,36,6,5/1/2002,EMC/Paradigm Publishing,2002,21th,small
109,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00,spa,205.0,6,1,6/1/1984,Turtleback Books,1984,20th,small
110,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367.0,376,17,6/1/1994,Little  Brown Book Group,1994,20th,small
111,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352.0,3086,237,1/3/2006,William Morrow,2006,21th,small
112,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,eng,320.0,352,44,11/1/2005,Atria Books,2005,21th,small
113,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,eng,331.0,9852,633,3/7/2006,Tor Books,2006,21th,small
114,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90,eng,244.0,821,78,8/10/2004,Vintage Crime/Black Lizard,2004,21th,small
115,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215.0,731,72,3/8/2005,Vintage Crime/Black Lizard,2005,21th,small
116,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191.0,2897,178,8/10/2004,Vintage Crime/Black Lizard,2004,21th,small
117,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144.0,98,11,10/3/1990,Vintage,1990,20th,small
118,I am Charlotte Simmons,Tom Wolfe,3.42,eng,738.0,20888,1688,8/30/2005,Picador USA,2005,21th,big
119,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48.0,66,19,10/1/2001,Sterling,2001,21th,small
120,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287.0,81,6,10/3/1996,Puffin,1996,20th,small
121,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217.0,981,52,2/1/1964,New Directions Publishing,1964,20th,small
122,Quiet Days in Clichy,Henry Miller,3.69,eng,154.0,3381,141,1/13/1994,Grove Press,1994,20th,small
124,Tropic of Capricorn,Henry Miller,3.78,eng,348.0,14872,459,1/13/1994,Grove Press,1994,20th,small
125,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.10,eng,316.0,3261,58,1/13/1994,Grove Press,1994,20th,small
126,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506.0,7805,251,1/12/1994,Grove Press,1994,20th,big
127,The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292.0,2699,142,1/17/1970,New Directions,1970,20th,small
128,The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797.0,61640,1951,9/30/2003,Penguin Classics,2003,21th,big
129,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,635.0,392,41,1/16/2004,Barnes  Noble Classics,2004,21th,big
130,Writing,Marguerite Duras,3.75,eng,91.0,778,44,5/6/1999,Brookline Books,1999,20th,small
131,The War,Marguerite Duras/Barbara Bray,3.85,eng,192.0,963,65,8/1/1994,The New Press,1994,20th,small
132,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,eng,181.0,2057,128,3/12/1986,Pantheon,1986,20th,small
133,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178.0,203,8,7/1/1999,One World (UK),1999,20th,small
135,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng,102.0,328,16,1/1/1998,Penguin Books,1998,20th,small
140,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,eng,213.0,420,42,10/1/2004,Sterling Children's Books,2004,21th,small
141,Treasure Island,Robert Louis Stevenson,3.83,eng,245.0,5967,276,6/1/2005,Simon & Schuster,2005,21th,small
142,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,eng,64.0,104,14,7/1/2003,Atheneum Books for Young Readers,2003,21th,small
143,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,eng,272.0,56,4,9/3/2002,Gramercy Books,2002,21th,small
144,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,232.0,91,16,1/31/2006,Abdo Publishing Company,2006,21th,small
145,100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270.0,88,4,11/22/1996,Black Classic Press,1996,20th,small
146,Cien años de soledad,Gabriel García Márquez,4.07,spa,448.0,63,7,1/1/1990,French & European,1990,20th,big
147,On Beyond Zebra!,Dr. Seuss,4.04,eng,64.0,2815,164,9/12/1955,Random House Books for Young Readers,1955,20th,small
148,The Wedding Clause,Debbie Raleigh,3.60,eng,256.0,95,13,6/7/2005,Zebra,2005,21th,small
149,The Zebra Wall,Kevin Henkes,3.44,eng,147.0,217,24,2/15/2005,Greenwillow Books,2005,21th,small
150,El perfume: Historia de un asesino,Patrick Süskind,4.02,spa,239.0,4136,255,6/1/2002,Booket,2002,21th,small
151,The Door Into Summer,Robert A. Heinlein,4.01,eng,304.0,17232,649,6/17/1997,Del Rey,1997,20th,small
153,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,eng,434.0,10293,193,6/1/1988,Ace Books,1988,20th,big
154,Job: A Comedy of Justice,Robert A. Heinlein,3.78,eng,439.0,15970,438,10/12/1985,Del Rey,1985,20th,big
155,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256.0,6898,200,8/8/2006,Tor Books,2006,21th,small
156,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,eng,307.0,67803,1401,2/15/1991,Pocket Books,1991,20th,small
157,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298.0,22091,746,4/26/2005,Del Rey,2005,21th,small
158,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368.0,2623,49,12/27/2005,Del Rey,2005,21th,small
159,Douglas Adams's Starship Titanic,Terry Jones,3.60,eng,256.0,885,84,10/27/1998,Ballantine Books,1998,20th,small
161,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng,72.0,100,13,1/12/2011,Samuel French  Inc.,2011,21th,small
162,On Bullshit,Harry G. Frankfurt,3.57,eng,67.0,9358,995,1/30/2005,Princeton University Press,2005,21th,small
163,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347.0,9318,907,9/12/2005,W. W. Norton & Company,2005,21th,small
164,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,eng,317.0,120,15,6/12/1993,Simon & Schuster,1993,20th,small
165,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng,32.0,5239,76,2/2/1998,HMH Books for Young Readers,1998,20th,small
166,Underworld,Don DeLillo,3.92,eng,827.0,1505,175,7/9/1998,Scribner,1998,20th,big
167,Libra,Don DeLillo,3.99,eng,480.0,11857,564,5/1/1991,Penguin,1991,20th,big
168,Americana,Don DeLillo,3.43,eng,377.0,393,55,7/6/1989,Penguin Books,1989,20th,small
169,Running Dog,Don DeLillo,3.43,eng,256.0,1356,72,7/17/1989,Vintage Contemporaries,1989,20th,small
170,Cosmopolis,Don DeLillo,3.22,eng,224.0,460,41,4/6/2004,Scribner,2004,21th,small
171,Great Jones Street,Don DeLillo,3.48,eng,272.0,2492,145,1/1/1994,Penguin Books,1994,20th,small
172,The Names,Don DeLillo,3.64,eng,339.0,3100,212,7/17/1989,Vintage,1989,20th,small
173,Against the Day,Thomas Pynchon,4.13,eng,1085.0,5296,587,11/21/2006,Penguin Press,2006,21th,big
174,V.,Thomas Pynchon,3.96,eng,547.0,1415,177,7/5/2005,Harper Perennial Modern Classics,2005,21th,big
175,The Crying of Lot 49,Thomas Pynchon,3.69,eng,152.0,2161,230,4/1/1999,Harper Perennial,1999,20th,small
176,Gravity's Rainbow,Thomas Pynchon,4.01,eng,784.0,762,213,1/1/2000,Penguin Books,2000,21th,big
177,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773.0,8086,602,1/3/2004,Picador USA,2004,21th,big
178,Vineland,Thomas Pynchon,3.69,eng,385.0,702,69,9/1/1997,Penguin Classics,1997,20th,small
179,Gravity's Rainbow,Thomas Pynchon,4.01,eng,776.0,29764,2164,10/31/2006,Penguin Books,2006,21th,big
180,Slow Learner: Early Stories,Thomas Pynchon,3.50,eng,193.0,334,34,4/30/1985,Back Bay Books,1985,20th,small
181,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.80,eng,352.0,2473,220,8/29/1996,Penguin Classics,1996,20th,small
182,The Year of Magical Thinking,Joan Didion,3.89,eng,227.0,2656,336,10/4/2005,Knopf Publishing Group,2005,21th,small
183,The White Album,Joan Didion,4.17,eng,222.0,11889,738,10/1/1990,Farrar Straus Giroux,1990,20th,small
184,A Book of Common Prayer,Joan Didion,3.80,eng,272.0,2962,255,4/11/1995,Vintage International,1995,20th,small
185,Where I Was From,Joan Didion,3.86,eng,240.0,2842,292,9/14/2004,Vintage,2004,21th,small
186,Slouching Towards Bethlehem,Joan Didion,4.21,eng,238.0,26934,1825,10/1/1990,Farrar Straus Giroux,1990,20th,small
187,Democracy,Joan Didion,3.81,eng,234.0,2070,169,4/25/1995,Vintage International,1995,20th,small
188,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.50,eng,1122.0,1564,108,10/17/2006,Everyman's Library,2006,21th,big
189,Play It As It Lays,Joan Didion/David Thomson,3.87,eng,231.0,23656,1706,11/15/2005,Farrar  Straus and Giroux,2005,21th,small
190,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng,308.0,43200,1873,3/28/2006,Penguin Classics,2006,21th,small
191,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng,203.0,12410,734,4/7/1987,Penguin Books,1987,20th,small
192,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng,96.0,3672,195,7/7/1987,Penguin Books,1987,20th,small
193,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng,179.0,2998,164,11/1/1986,Sun and Moon Press,1986,20th,small
194,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng,256.0,74,2,1/1/1995,Sky Books (NY),1995,20th,small
195,The Brooklyn Follies,Paul Auster,3.84,eng,306.0,17977,1157,10/17/2006,Picador,2006,21th,small
196,Moon Palace,Paul Auster,3.94,eng,320.0,16099,503,4/1/1990,Penguin Books,1990,20th,small
197,The Music of Chance,Paul Auster,3.90,eng,217.0,361,36,12/1/1991,Penguin Books,1991,20th,small
198,Travels in the Scriptorium,Paul Auster,3.23,eng,145.0,6688,562,1/23/2007,Henry Holt & Company,2007,21th,small
199,Leviathan,Paul Auster,3.96,eng,275.0,11744,443,9/1/1993,Penguin Books,1993,20th,small
200,The Red Notebook: True Stories,Paul Auster,3.77,eng,104.0,2390,120,6/17/2002,New Directions,2002,21th,small
201,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre,1075.0,21,1,11/7/2002,Actes Sud,2002,21th,big
202,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608.0,52522,2780,12/27/2005,Penguin Books Ltd. (London),2005,21th,big
203,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.40,eng,211.0,213,26,2/1/2006,Business Plus,2006,21th,small
204,Collapse of Complex Societies,Joseph A. Tainter,4.15,eng,262.0,719,86,3/29/1990,Cambridge University Press,1990,20th,small
205,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.80,eng,544.0,4762,512,8/7/2001,Simon  Schuster,2001,21th,big
206,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng,272.0,62,4,1/29/2002,Ballantine Books,2002,21th,small
207,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,eng,576.0,278,20,9/17/1998,W. W. Norton  Company,1998,20th,big
208,My Inventions,Nikola Tesla,4.01,eng,88.0,2862,262,5/17/2006,Filiquarian Publishing  LLC.,2006,21th,small
209,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,eng,542.0,2829,334,2/1/2001,Citadel,2001,21th,big
210,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng,144.0,105,5,10/1/1994,Lerner Publications,1994,20th,small
211,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,eng,100.0,102,2,12/1/2000,Adventures Unlimited Press,2000,21th,small
212,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,eng,249.0,478,12,6/27/2006,Harlequin Blaze,2006,21th,small
213,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,eng,828.0,1577,49,10/11/2004,Pragmatic Bookshelf,2004,21th,big
